state,highway,exit,latitude,longitude
AR,I40,161,34.7848928,-92.12834185
AR,I40,148,34.8184775,-92.333437
AR,I40,159,34.78117025,-92.1626567
AR,I40,156,34.779162799999995,-92.21859155
AR,I40,153A,34.78012755,-92.263409
AR,I40,150,34.7960949,-92.30161306666666
AR,I40,242,35.03751405,-90.772237
AR,I40,241A,35.03603255,-90.7930691
AR,I40,241B,35.03672535,-90.7860343
AR,I40,256,35.11862555,-90.5480132
AR,I40,247,35.0561674,-90.68963945
AR,I40,260,35.1327508,-90.48329425
AR,I40,221,34.92955165,-91.1081953
AR,I40,233,34.98374215,-90.90466085
AR,I40,155,34.7779434,-92.23094839999999
AR,I40,152A,34.782318,-92.271815
AR,I40,153B,34.7788519,-92.25823224999999
AR,I40,152,34.786396,-92.281465
AR,I40,146,34.840937,-92.34890915
AR,I40,152B,34.7864863,-92.2806455
AR,I40,279B,35.1556108,-90.1513594
AR,I40,278,35.162812,-90.16998785
AR,I40,276,35.166107,-90.2061194
AR,I40,129,35.0697383,-92.417546
AR,I40,239,35.026885750000005,-90.81635109999999
AR,I40,12,35.48228575,-94.24285094999999
AR,I40,275,35.16061205,-90.2245546
AR,I40,129AB,35.0610146,-92.4173345
AR,I40,124,35.1192699,-92.4670424
AR,I40,1,35.4603676,-94.4306088
AR,I40,81,35.3060012,-93.1387253
AR,I40,279A,35.158205249999995,-90.1546831
AR,I40,173,34.80356075,-91.91809345
AR,I40,132,35.014368399999995,-92.4100981
AR,I40,124A,35.118863,-92.4546208
AR,I40,124B,35.1192704,-92.4611144
AR,I430,1,34.679569,-92.406608
AR,I430,129A;129B,34.6643278,-92.4037276
AR,I430,6B,34.75016525,-92.39130205000001
AR,I430,9,34.789021,-92.3897775
AR,I430,5,34.7367495,-92.39483849999999
AR,I430,8,34.768486499999995,-92.3902625
AR,I430,4,34.7128425,-92.401764
AR,I430,12,34.810532,-92.357343
AR,I430,13B;13A,34.818856,-92.343342
AR,I430,6A,34.750111700000005,-92.3911104
AR,I430,128,34.6680626,-92.4054147
AR,I440,7,34.733308949999994,-92.17145535
AR,I440,8,34.747683499999994,-92.16332299999999
AR,I440,138B,34.714288,-92.267968
AR,I440,4,34.716199,-92.2130525
AR,I440,3,34.716563,-92.22444465000001
AR,I440,1,34.715937800000006,-92.25350750000001
AR,I440,5,34.71610565,-92.18937439999999
AR,I440,10,34.768653,-92.16198349999999
AR,I440,138A,34.713571,-92.264825
AR,I440,11,34.7755098,-92.1616486
AR,I440,11A,34.7866965,-92.1613467
AR,I440,13,34.8358745,-92.1516039
AR,I440,12,34.8240269,-92.15163849999999
AR,I440,11B,34.7805967,-92.1615691
AR,I49,88,36.3840247,-94.1789315
AR,I49,88A,36.3791851,-94.1720164
AR,I49,83,36.31470245,-94.18514005
AR,I49,86,36.35890875,-94.1766883
AR,I49,85,36.3354949,-94.18331965
AR,I49,78,36.2545106,-94.15043835
AR,I49,76,36.22554995,-94.17895014999999
AR,I49,81,36.28372125,-94.15687315
AR,I49,87,36.364463349999994,-94.1746986
AR,I49,82,36.300887349999996,-94.17771830000001
AR,I49,77,36.23895655,-94.16038929999999
AR,I49,32,33.4364318,-94.0063708
AR,I49,31,33.409779,-94.0048028
AR,I49,64,36.0777559,-94.2008176
AR,I49,58,35.9968424,-94.1962743
AR,I49,73,36.19346375,-94.1799927
AR,I49,62,36.055765699999995,-94.1955782
AR,I49,67AB,36.1147037,-94.1757779
AR,I49,65,36.09003635,-94.19297155
AR,I49,53,35.924650799999995,-94.19819005
AR,I49,72,36.17453745,-94.1853407
AR,I49,45,35.81714785,-94.18943875
AR,I49,67B,36.1069056,-94.175844
AR,I49,67A,36.1027197,-94.1825779
AR,I49,61,36.0433288,-94.1905041
AR,I49,60,36.0328449,-94.18817715
AR,I49,35,33.46077285,-94.00772624999999
AR,I49,29,34.873990299999996,-94.13129503333333
AR,I49,29B,33.3845628,-94.0165152
AR,I49,29A,33.3822867,-94.0148167
